Id,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,YearBuilt,FullBath,BedroomAbvGr,LotArea,SalePrice
71,8,2482,0,1218,2009,3,3,3286,301875
72,5,1353,1,2074,1951,1,1,13371,167670
73,2,550,3,1831,1950,0,4,9052,128342
74,5,1074,1,2206,1996,2,2,5654,210194
75,8,3761,1,1515,2018,1,3,9102,368086
76,10,1648,3,1954,1969,2,2,4359,317598
77,9,2697,3,784,1960,3,4,10105,318772
78,9,2861,3,2375,1951,3,4,10636,353246
79,1,3117,0,1013,2016,1,5,8441,221041
80,9,3913,2,1362,1961,3,1,7047,381347
81,7,2852,0,2276,1969,2,5,10227,284508
82,9,2215,2,1596,1954,0,3,7203,281530
83,8,1181,0,1554,1986,0,2,11667,166363
84,1,1337,2,2433,1987,0,3,14149,170137
85,8,1577,0,425,1958,1,4,3798,173782
86,8,3550,3,836,2002,3,5,12037,388292
87,3,2991,1,2492,1993,2,5,11600,305681
88,1,3160,0,2372,1973,3,5,7291,269284
89,8,3540,2,1903,2023,3,3,7495,420415
90,3,2811,3,366,1979,3,4,11900,271772
91,3,3624,0,532,2008,0,2,13130,241072
92,1,2095,0,2456,1963,2,2,8284,184178
93,5,3551,3,1469,1958,2,3,9285,308101
94,10,504,0,2458,1989,3,5,3300,215533
95,7,1626,1,410,2015,0,1,8869,183475
96,10,1719,0,1793,1974,0,3,11435,224204
97,9,1273,1,2381,2022,2,3,14168,272938
98,7,1376,1,922,1971,0,4,5097,179950
99,9,1491,3,1841,1953,0,2,6616,251730
100,8,3431,0,1605,1975,0,3,2009,304175
101,2,3921,3,2061,2007,1,3,12617,346529
102,1,546,0,2275,1978,3,5,7752,134900
103,7,3414,0,1176,1986,2,5,11852,320091
104,7,3370,2,2289,2019,2,1,12823,400262
105,8,3483,0,1612,1967,1,4,8295,319876
106,5,3203,3,1760,1991,3,1,6815,355326
107,3,768,1,2033,1990,2,5,3072,165288
108,8,869,0,1905,1987,0,2,5225,158414
109,6,1135,2,1826,1983,2,5,3316,221531
110,3,1629,3,1930,1966,0,4,7699,209025
111,1,2193,0,1460,1986,1,5,14337,178950
112,3,2182,3,1058,1974,0,4,8807,226280
113,5,1156,2,542,1976,2,4,8674,173807
114,3,619,2,1363,2006,2,4,5683,175831
115,1,1330,3,528,1980,2,4,9227,169134
116,5,2310,0,1219,1955,1,4,5273,174716
117,10,1581,1,1546,1989,1,2,9000,267965
118,7,2474,2,305,1961,3,1,2145,252495
119,7,1869,0,767,2002,2,3,7010,241610
120,9,1240,0,2055,2020,0,1,5040,212206
121,10,616,1,374,1959,1,4,11654,144602
122,10,2353,2,303,1994,2,2,14868,301751
123,3,3338,2,2170,1966,2,5,11776,312457
124,7,1650,0,945,1975,1,2,2482,178656
125,1,3964,0,417,2011,3,4,5179,287916
126,4,2431,1,1929,1995,1,2,3249,249294
127,4,1512,1,2321,2013,1,2,14960,225010
128,5,2164,2,1246,1951,0,4,2630,215572
129,7,1581,3,1764,2003,0,2,10853,264708
130,7,1133,2,493,2014,3,3,13695,234312
131,4,1012,0,1146,2000,2,3,4852,135390
132,7,3349,2,1715,2002,1,2,12658,335769
133,3,1619,3,1758,1985,3,5,2987,251426
134,6,1641,1,1968,1975,0,4,9622,220641
135,2,1059,3,1733,1978,1,3,9327,177081
136,10,987,3,1441,1970,2,5,11738,285161
137,9,3808,3,2110,1960,0,2,10841,384804
138,5,1396,1,1023,1989,0,5,11160,183279
139,6,3843,3,524,1960,0,1,12829,288405
140,4,1712,3,831,1985,3,3,3100,238693
141,10,1203,3,412,2008,2,2,8652,283089
142,7,1970,0,2487,1988,1,4,10632,242713
143,9,1080,3,858,2003,3,2,9421,273332
144,7,3337,1,2348,2004,3,4,7016,381469
145,1,3408,3,2437,1973,3,2,2769,328244
146,1,2794,3,953,1971,0,5,3343,216575
147,9,3647,1,619,2018,2,5,6358,379512
148,9,653,3,1873,2005,3,5,13921,280271
149,4,2179,1,2128,1982,1,1,14098,222449
150,9,1496,3,2217,1985,2,4,11769,316608
151,3,3657,1,438,1969,1,5,8780,246427
152,7,3244,3,2326,2011,2,1,14200,378236
153,6,3856,3,1201,2022,1,4,8602,380236
154,8,1743,0,989,1975,0,2,13543,204688
155,9,1592,0,2339,2015,3,1,14987,299313
156,5,3618,3,309,2022,1,3,4349,351453
157,1,1508,3,560,2022,2,1,13794,192605
158,3,2641,2,2242,1989,3,1,7699,289461
159,10,2273,1,1973,1966,3,4,3241,334401
160,8,1457,2,2360,1950,2,2,3125,231894
161,6,3559,0,1491,2010,1,3,12793,303459
162,8,952,0,1919,1992,0,5,11382,203205
163,9,1727,0,620,1991,0,5,8764,209564
164,4,3459,0,1642,1974,1,1,7101,272774
165,1,2765,3,1936,1988,3,4,14323,290763
166,1,3021,0,2294,1984,3,4,14640,250335
167,10,2979,3,2243,1952,3,5,9843,405664
168,4,2888,3,2338,1993,3,3,2072,349872
169,7,1050,0,1418,2000,1,2,7472,182738
170,2,2135,0,1904,1961,3,3,12106,174649
171,3,1812,1,535,1968,2,2,7189,163560
172,1,3825,2,2269,1993,3,5,4472,331479
173,5,2257,0,633,2008,0,2,13238,202549
174,1,856,1,2208,1998,3,4,2707,153184
175,8,2570,1,675,2010,1,1,3804,275894
176,1,2285,2,1460,1966,0,1,8704,154885
177,1,3069,3,1870,2023,1,5,5713,329909
178,2,2281,0,1619,2006,1,4,7051,204861
179,2,3671,2,2155,2004,0,3,12756,319207
180,6,3349,0,1672,1996,1,4,4475,290773
181,7,3751,1,1172,1961,1,1,5610,303396
182,5,3794,1,1552,2011,3,1,6255,346423
183,1,3309,3,2151,1957,2,4,13015,300918
184,1,2989,1,1614,1970,1,4,9397,239816
185,3,2131,1,1024,2019,1,1,3735,190988
186,2,3316,2,2352,2021,1,3,11777,312483
187,5,1515,0,377,1974,3,5,10258,176871
188,10,1848,0,431,1961,2,5,13253,223120
189,6,1015,2,900,1964,0,4,9979,161478
190,7,3587,3,2072,2008,3,5,4428,435291
191,4,3339,0,1365,1975,3,1,14345,262938
192,7,835,1,2436,1975,2,1,9426,178408
193,8,2282,0,2163,1996,2,4,10533,311099
194,1,2805,1,1618,1981,3,4,7249,259421
195,6,996,3,915,1959,0,4,12966,162744
196,8,1395,2,2188,1965,3,3,7291,267838
197,5,2707,0,1346,2020,2,5,4817,275810
198,4,1351,2,874,1966,0,4,12853,135416
199,2,2187,0,2490,1972,2,2,11424,188426
200,6,2431,1,1292,1975,0,2,5874,217440
201,6,3237,2,2492,1956,1,1,12593,316070
202,1,2927,0,1548,1963,2,5,11686,220538
203,9,2068,1,802,1956,2,4,6211,243134
204,6,1456,2,2297,1958,3,2,2661,224163
205,3,3238,2,1120,1997,2,5,14075,311531
206,4,3998,0,2451,2021,2,1,13811,341701
207,4,2136,0,2270,2008,1,3,12060,251273
208,3,1791,0,497,1988,2,5,12526,177294
209,10,1940,1,1969,1967,1,5,5374,290569
210,3,1691,0,1502,2008,1,3,11208,197888
211,3,1566,2,1771,1966,1,5,14598,186202
212,4,784,2,1946,1963,1,1,2207,135385
213,7,2944,0,1992,1980,0,1,4665,277789
214,4,511,0,1612,1973,3,3,4493,123716
215,9,2130,3,2335,2009,0,4,8813,341755
216,1,3873,2,777,1994,2,2,2632,294974
217,8,3824,1,1554,1952,0,4,12294,319341
218,7,3046,3,1222,1986,0,5,13151,338807
219,2,1253,0,719,1992,2,2,5083,115204
220,8,2582,0,1420,1989,2,3,14944,283097
221,1,3274,2,1250,2004,2,3,12123,285964
222,9,3396,0,1577,1988,0,2,5719,314526
223,9,589,1,2157,1964,0,1,9123,161577
224,2,1275,2,816,1953,2,2,12754,127783
225,7,3152,0,1958,1974,3,5,3679,326572
226,10,3517,2,2165,1962,3,1,2236,405010
227,3,2125,0,1441,1982,1,3,9446,180067
228,7,3569,0,2232,1965,2,2,6443,327834
229,10,917,0,1114,1991,1,4,8770,184839
230,9,614,1,2200,2015,3,4,14917,263814
231,4,1116,1,2362,2004,1,5,11732,186354
232,1,3767,2,2394,1991,2,4,8099,309211
233,2,1325,0,429,1983,2,2,14135,92706
234,1,2149,0,394,1979,2,2,10555,122139
235,5,2016,1,2255,1962,0,4,4368,212892
236,5,3646,0,1093,1962,1,2,2285,255905
237,7,912,1,2134,1967,3,5,2148,210516
238,9,3947,0,2416,1981,3,1,6037,395010
239,9,3991,2,1983,1988,3,5,8549,424406
240,3,1228,0,310,1995,0,5,9121,131309
241,3,3848,0,2165,1978,0,2,14743,263661
242,3,3568,3,1011,2011,2,1,11958,341383
243,4,3308,1,2370,2011,3,2,6895,345796
244,8,1175,0,1114,2006,0,3,7280,190938
245,6,3965,0,645,1965,2,2,3012,304695
246,8,2392,3,662,2005,3,2,13023,324766
247,1,3004,3,2488,1959,1,2,12699,266480
248,8,3467,1,1284,1979,2,1,11715,321817
249,4,2739,3,1939,1974,0,2,4785,289107
250,1,3286,2,1127,1954,0,1,12748,206832
251,8,1622,3,655,2014,2,4,5725,296330
252,4,2071,2,1647,1998,2,3,6576,235000
253,6,1477,1,2163,1952,0,1,7782,154991
254,8,1508,1,426,1994,1,4,8257,226986
255,4,2643,1,903,1963,3,1,11793,236075
256,3,2187,1,2228,1979,1,1,4408,227398
257,9,3210,1,1313,2017,2,3,2340,358541
258,3,3761,2,350,1967,1,5,4817,270247
259,9,536,2,1730,2011,0,5,4496,236028
260,2,3940,1,2092,1986,2,1,7962,296129
261,2,2048,3,1936,1974,3,2,7299,249896
262,2,2826,0,1945,1997,0,4,11917,207814
263,6,2764,1,1505,2014,0,2,9574,298745
264,3,3414,3,2154,2002,3,2,3689,352583
265,9,1372,0,866,2022,3,1,5267,236743
266,4,2321,1,1235,1964,1,1,6406,181535
267,1,1796,1,2234,1998,2,1,10453,203881
268,4,2609,2,1632,2017,3,1,3442,303727
269,1,1095,0,501,1961,3,5,10597,82494
270,5,2403,0,416,2008,2,1,12382,213838
271,4,1228,3,1236,1986,3,5,6437,228168
272,8,1865,2,874,2010,3,5,7435,294804
273,8,896,2,836,1992,1,1,10435,207531
274,7,1198,2,1925,2019,0,3,14777,258761
275,3,3590,2,2422,1988,0,4,6107,324686
276,1,2724,0,685,2005,0,2,2560,158055
277,1,2135,0,774,2012,0,5,14329,155462
278,3,895,1,717,1995,3,4,12917,150912
279,6,2992,1,1238,1960,2,3,10785,265591
280,7,3804,2,1254,2011,2,2,7548,394317
281,6,575,2,1175,1974,1,2,3826,137796
282,6,764,2,1062,2020,1,5,13421,225589
283,6,3002,1,1502,2001,3,1,13479,306773
284,3,2319,3,1505,1953,2,3,14265,213583
285,6,1217,3,963,2008,2,5,9629,252115
286,8,3282,1,324,2021,0,3,10325,296238
287,2,3955,1,2290,1969,3,1,5138,294884
288,5,1350,1,1503,2012,3,1,14111,232781
289,1,1890,1,1009,2003,0,5,9693,159684
290,1,643,1,2179,2023,3,1,10264,135263
291,5,1384,1,1484,2006,3,4,14686,220557
292,3,3640,2,584,1990,1,2,9842,285461
293,4,3670,2,362,1952,2,5,8721,300159
294,3,895,2,1302,1955,3,3,9002,156623
295,1,3596,2,961,1954,1,4,6225,260809
296,1,3495,1,1792,1954,2,5,4978,250604
297,5,3438,3,1266,2003,0,1,9373,329906
298,6,1992,0,1148,1996,1,1,7907,184623
299,3,3722,1,1407,1998,1,1,8097,303345
300,9,1667,0,988,1958,2,1,14553,204982
